Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.91 --lr 0.000125
================================================================================
Training started at 20260115-195525
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep   61 |OrigR:  72.0 ShpR: 255.2 |X:  135.0( 811.0) AvgX100: 267.4 |AvgR: 434.1( 587.4) 47 |Ls: 0.1577 |Eps: 0.8584 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   62 |OrigR: 100.0 ShpR: 321.0 |X:  164.0( 811.0) AvgX100: 265.7 |AvgR: 432.3( 587.4) 48 |Ls: 0.1133 |Eps: 0.8562 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   63 |OrigR: 685.0 ShpR:1520.5 |X:  802.0( 811.0) AvgX100: 274.2 |AvgR: 449.5( 587.4) 49 |Ls: 0.1346 |Eps: 0.8541 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   64 |OrigR: -74.0 ShpR:  47.6 |X:   52.0( 811.0) AvgX100: 270.8 |AvgR: 443.3( 587.4) 50 |Ls: 0.1229 |Eps: 0.8520 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   65 |OrigR: 308.0 ShpR: 660.3 |X:  691.0( 811.0) AvgX100: 277.2 |AvgR: 446.6( 587.4) 51 |Ls: 0.1352 |Eps: 0.8498 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   66 |OrigR: -42.0 ShpR:  48.8 |X:   48.0( 811.0) AvgX100: 273.7 |AvgR: 440.6( 587.4) 52 |Ls: 0.1216 |Eps: 0.8477 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   67 |OrigR: 415.0 ShpR: 833.0 |X:  772.0( 811.0) AvgX100: 281.2 |AvgR: 446.4( 587.4) 53 |Ls: 0.1165 |Eps: 0.8456 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   68 |OrigR:  -2.0 ShpR: 154.3 |X:   95.0( 811.0) AvgX100: 278.4 |AvgR: 442.1( 587.4) 54 |Ls: 0.1215 |Eps: 0.8435 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   69 |OrigR: 140.0 ShpR: 395.5 |X:  215.0( 811.0) AvgX100: 277.5 |AvgR: 441.5( 587.4) 55 |Ls: 0.1497 |Eps: 0.8414 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   70 |OrigR:  13.0 ShpR: 154.3 |X:   93.0( 811.0) AvgX100: 274.9 |AvgR: 437.3( 587.4) 56 |Ls: 0.1463 |Eps: 0.8393 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   71 |OrigR: 260.0 ShpR: 681.0 |X:  364.0( 811.0) AvgX100: 276.1 |AvgR: 440.8( 587.4) 57 |Ls: 0.1216 |Eps: 0.8372 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   72 |OrigR: -31.0 ShpR:  39.9 |X:   42.0( 811.0) AvgX100: 272.9 |AvgR: 435.2( 587.4) 58 |Ls: 0.1371 |Eps: 0.8351 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   73 |OrigR: 396.0 ShpR:1064.1 |X:  691.0( 811.0) AvgX100: 278.6 |AvgR: 443.8( 587.4) 59 |Ls: 0.1430 |Eps: 0.8330 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   74 |OrigR: 170.0 ShpR: 457.0 |X:  254.0( 811.0) AvgX100: 278.3 |AvgR: 444.0( 587.4) 60 |Ls: 0.1364 |Eps: 0.8309 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   75 |OrigR: 291.0 ShpR: 702.1 |X:  383.0( 811.0) AvgX100: 279.7 |AvgR: 447.4( 587.4) 61 |Ls: 0.1418 |Eps: 0.8288 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   76 |OrigR: 190.0 ShpR: 504.0 |X:  257.0( 811.0) AvgX100: 279.4 |AvgR: 448.2( 587.4) 62 |Ls: 0.1562 |Eps: 0.8268 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   77 |OrigR: 183.0 ShpR: 482.8 |X:  267.0( 811.0) AvgX100: 279.2 |AvgR: 448.6( 587.4) 63 |Ls: 0.1440 |Eps: 0.8247 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   78 |OrigR: 324.0 ShpR: 772.4 |X:  423.0( 811.0) AvgX100: 281.1 |AvgR: 452.8( 587.4) 64 |Ls: 0.1461 |Eps: 0.8226 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   79 |OrigR: 481.0 ShpR: 988.1 |X:  802.0( 811.0) AvgX100: 287.7 |AvgR: 459.6( 587.4) 65 |Ls: 0.1374 |Eps: 0.8206 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   80 |OrigR: 311.0 ShpR: 780.1 |X:  567.0( 811.0) AvgX100: 291.1 |AvgR: 463.6( 587.4) 66 |Ls: 0.1159 |Eps: 0.8185 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   81 |OrigR: 119.0 ShpR: 325.4 |X:  249.0( 811.0) AvgX100: 290.6 |AvgR: 461.9( 587.4) 67 |Ls: 0.1051 |Eps: 0.8165 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   82 |OrigR: 674.0 ShpR:1488.9 |X:  810.0( 811.0) AvgX100: 297.0 |AvgR: 474.4( 587.4) 68 |Ls: 0.1033 |Eps: 0.8144 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   83 |OrigR: -49.0 ShpR:  63.1 |X:   56.0( 811.0) AvgX100: 294.1 |AvgR: 469.4( 587.4) 69 |Ls: 0.1090 |Eps: 0.8124 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   84 |OrigR:  81.0 ShpR: 278.1 |X:  145.0( 811.0) AvgX100: 292.3 |AvgR: 467.2( 587.4) 70 |Ls: 0.1075 |Eps: 0.8104 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   85 |OrigR: 111.0 ShpR: 381.1 |X:  212.0( 811.0) AvgX100: 291.3 |AvgR: 466.1( 587.4) 71 |Ls: 0.1189 |Eps: 0.8083 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   86 |OrigR: 170.0 ShpR: 457.5 |X:  240.0( 811.0) AvgX100: 290.7 |AvgR: 466.0( 587.4) 72 |Ls: 0.1245 |Eps: 0.8063 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   87 |OrigR: 169.0 ShpR: 460.4 |X:  242.0( 811.0) AvgX100: 290.2 |AvgR: 466.0( 587.4) 73 |Ls: 0.1078 |Eps: 0.8043 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   88 |OrigR: 491.0 ShpR:1010.1 |X:  811.0( 811.0) AvgX100: 296.1 |AvgR: 472.2( 587.4) 74 |Ls: 0.1173 |Eps: 0.8023 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   89 |OrigR: -18.0 ShpR:  75.7 |X:   58.0( 811.0) AvgX100: 293.4 |AvgR: 467.7( 587.4) 75 |Ls: 0.1153 |Eps: 0.8003 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   90 |OrigR:  94.0 ShpR: 307.9 |X:  158.0( 811.0) AvgX100: 291.9 |AvgR: 465.9( 587.4) 76 |Ls: 0.0993 |Eps: 0.7983 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   91 |OrigR: 196.0 ShpR: 510.1 |X:  280.0( 811.0) AvgX100: 291.8 |AvgR: 466.4( 587.4) 77 |Ls: 0.1125 |Eps: 0.7963 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   92 |OrigR: -15.0 ShpR:  72.5 |X:   56.0( 811.0) AvgX100: 289.2 |AvgR: 462.1( 587.4) 78 |Ls: 0.1111 |Eps: 0.7943 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   93 |OrigR: 530.0 ShpR:1335.5 |X:  697.0( 811.0) AvgX100: 293.6 |AvgR: 471.5( 587.4) 79 |Ls: 0.1062 |Eps: 0.7923 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   94 |OrigR: 371.0 ShpR: 831.6 |X:  537.0( 811.0) AvgX100: 296.2 |AvgR: 475.4( 587.4) 80 |Ls: 0.1087 |Eps: 0.7903 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   95 |OrigR: -60.0 ShpR:  39.5 |X:   46.0( 811.0) AvgX100: 293.6 |AvgR: 470.8( 587.4) 81 |Ls: 0.1029 |Eps: 0.7884 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   96 |OrigR:  83.0 ShpR: 280.3 |X:  146.0( 811.0) AvgX100: 292.0 |AvgR: 468.8( 587.4) 82 |Ls: 0.1118 |Eps: 0.7864 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   97 |OrigR: 160.0 ShpR: 433.5 |X:  241.0( 811.0) AvgX100: 291.5 |AvgR: 468.4( 587.4) 83 |Ls: 0.1100 |Eps: 0.7844 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
