Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.91 --lr 0.000125 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260114-110731
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep   77 |OrigR: 132.0 ShpR: 391.2 |X:  194.0( 276.0) AvgX100: 198.1 |AvgR: 397.3( 397.4)  1 |Ls: 0.0063 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   78 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 276.0) AvgX100: 198.1 |AvgR: 397.4( 397.4)  0 |Ls: 0.0061 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   79 |OrigR: 136.0 ShpR: 397.6 |X:  197.0( 276.0) AvgX100: 198.1 |AvgR: 397.4( 397.4)  0 |Ls: 0.0057 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   80 |OrigR: 135.0 ShpR: 397.0 |X:  197.0( 276.0) AvgX100: 198.1 |AvgR: 397.4( 397.4)  1 |Ls: 0.0055 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   81 |OrigR: 124.0 ShpR: 373.9 |X:  187.0( 276.0) AvgX100: 198.0 |AvgR: 397.1( 397.4)  2 |Ls: 0.0068 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   82 |OrigR: 134.0 ShpR: 393.4 |X:  195.0( 276.0) AvgX100: 197.9 |AvgR: 397.1( 397.4)  3 |Ls: 0.0060 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   83 |OrigR: 134.0 ShpR: 393.4 |X:  195.0( 276.0) AvgX100: 197.9 |AvgR: 397.0( 397.4)  4 |Ls: 0.0066 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   84 |OrigR:  96.0 ShpR: 312.6 |X:  160.0( 276.0) AvgX100: 197.4 |AvgR: 396.0( 397.4)  5 |Ls: 0.0173 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   85 |OrigR: 121.0 ShpR: 367.1 |X:  184.0( 276.0) AvgX100: 197.3 |AvgR: 395.7( 397.4)  6 |Ls: 0.0136 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   86 |OrigR: 139.0 ShpR: 404.4 |X:  200.0( 276.0) AvgX100: 197.3 |AvgR: 395.8( 397.4)  7 |Ls: 0.0115 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
