Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.99 --lr 0.00025
================================================================================
Training started at 20260118-092144
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep   59 |OrigR: 334.0 ShpR: 668.9 |X:  694.0( 805.0) AvgX100: 259.5 |AvgR: 400.6( 414.4) 25 |Ls: 1.7236 |Eps: 0.8627 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   60 |OrigR: 143.0 ShpR: 397.3 |X:  229.0( 805.0) AvgX100: 258.9 |AvgR: 400.5( 414.4) 26 |Ls: 1.8039 |Eps: 0.8605 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   61 |OrigR: -16.0 ShpR:  70.4 |X:   55.0( 805.0) AvgX100: 255.6 |AvgR: 395.1( 414.4) 27 |Ls: 1.7622 |Eps: 0.8584 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   62 |OrigR: 182.0 ShpR: 488.2 |X:  251.0( 805.0) AvgX100: 255.5 |AvgR: 396.6( 414.4) 28 |Ls: 1.7754 |Eps: 0.8562 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   63 |OrigR:  20.0 ShpR: 182.5 |X:  106.0( 805.0) AvgX100: 253.2 |AvgR: 393.2( 414.4) 29 |Ls: 1.8097 |Eps: 0.8541 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   64 |OrigR:  28.0 ShpR: 162.8 |X:   95.0( 805.0) AvgX100: 250.7 |AvgR: 389.6( 414.4) 30 |Ls: 1.8916 |Eps: 0.8520 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   65 |OrigR: -36.0 ShpR: 184.9 |X:  135.0( 805.0) AvgX100: 248.9 |AvgR: 386.5( 414.4) 31 |Ls: 1.7793 |Eps: 0.8498 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   66 |OrigR: 143.0 ShpR: 401.3 |X:  218.0( 805.0) AvgX100: 248.4 |AvgR: 386.7( 414.4) 32 |Ls: 1.8905 |Eps: 0.8477 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   67 |OrigR: 384.0 ShpR: 906.9 |X:  467.0( 805.0) AvgX100: 251.7 |AvgR: 394.5( 414.4) 33 |Ls: 1.9015 |Eps: 0.8456 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   68 |OrigR: -23.0 ShpR: 128.2 |X:   85.0( 805.0) AvgX100: 249.2 |AvgR: 390.6( 414.4) 34 |Ls: 1.9536 |Eps: 0.8435 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   69 |OrigR: -22.0 ShpR: 163.3 |X:  162.0( 805.0) AvgX100: 248.0 |AvgR: 387.3( 414.4) 35 |Ls: 2.0773 |Eps: 0.8414 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   70 |OrigR:   9.0 ShpR: 127.4 |X:   80.0( 805.0) AvgX100: 245.6 |AvgR: 383.6( 414.4) 36 |Ls: 2.2601 |Eps: 0.8393 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   71 |OrigR: 137.0 ShpR: 367.2 |X:  253.0( 805.0) AvgX100: 245.7 |AvgR: 383.3( 414.4) 37 |Ls: 2.1651 |Eps: 0.8372 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   72 |OrigR: 109.0 ShpR: 326.9 |X:  190.0( 805.0) AvgX100: 244.9 |AvgR: 382.5( 414.4) 38 |Ls: 2.2569 |Eps: 0.8351 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   73 |OrigR: 659.0 ShpR:1444.9 |X:  808.0( 808.0) AvgX100: 252.6 |AvgR: 397.1( 414.4) 39 |Ls: 2.2966 |Eps: 0.8330 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   74 |OrigR: -23.0 ShpR:  54.2 |X:   48.0( 808.0) AvgX100: 249.9 |AvgR: 392.5( 414.4) 40 |Ls: 2.6016 |Eps: 0.8309 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   75 |OrigR: 405.0 ShpR: 906.5 |X:  563.0( 808.0) AvgX100: 254.0 |AvgR: 399.3( 414.4) 41 |Ls: 2.7285 |Eps: 0.8288 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   76 |OrigR: 478.0 ShpR:1111.8 |X:  596.0( 808.0) AvgX100: 258.5 |AvgR: 408.7( 414.4) 42 |Ls: 2.7814 |Eps: 0.8268 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
